id,fecha_hora,concentracion_mp_mg_m3,concentracion_mp_sin_corregir_mg_nm3,concentracion_mp_mg_nm3,oxigeno_porcentaje_base_seca,humedad_porcentaje,concentracion_co2_porcentaje,concentracion_co2_sin_corregir_mg_nm3,temperatura_gases_salida_c,presion_gases_salida_atm,flujo_gases_salida_base_humeda_m3_min,flujo_gases_salida_base_seca_nm3_min,tipo_combustible,combustible,estado_fuente
38881,2025-09-01 00:00:00,181.089,335.373,345.424,8.415,12.547,12.343,130.799,143.127,0.984,2133.115,1263.614,,,
38882,2025-09-01 00:01:00,382.75,322.781,478.295,7.192,12.016,11.869,145.859,142.634,0.983,2134.115,1294.675,,,
38883,2025-09-01 00:02:00,306.198,362.319,369.897,8.236,13.941,10.405,143.433,145.455,0.98,2164.592,1315.456,,,
38884,2025-09-01 00:03:00,259.53,298.809,413.162,8.419,13.649,12.335,147.652,142.216,0.978,2110.462,1295.916,,,
38885,2025-09-01 00:04:00,104.607,112.825,246.724,8.387,13.231,8.591,157.609,141.377,0.979,2105.594,1346.28,,,
38886,2025-09-01 00:05:00,104.598,344.925,208.902,8.263,13.661,12.497,138.239,143.639,0.98,2180.284,1308.459,,,
38887,2025-09-01 00:06:00,70.329,386.47,281.707,8.29,13.621,11.617,149.173,145.909,0.976,2178.985,1346.36,,,
38888,2025-09-01 00:07:00,353.162,266.7,422.853,7.078,13.864,11.78,142.895,148.818,0.981,2138.509,1281.439,,,
38889,2025-09-01 00:08:00,260.39,402.918,282.52,6.803,12.772,8.388,143.054,150.849,0.98,2159.307,1252.112,,,
38890,2025-09-01 00:09:00,297.825,190.801,438.69,7.779,13.11,11.709,149.418,143.342,0.983,2123.808,1265.456,,,
38891,2025-09-01 00:10:00,57.205,188.511,495.509,7.476,12.197,10.965,158.54,152.28,0.978,2136.764,1257.157,,,
38892,2025-09-01 00:11:00,389.468,164.567,128.811,6.697,13.931,10.915,155.891,140.505,0.976,2103.64,1323.897,,,
38893,2025-09-01 00:12:00,341.355,248.798,118.164,7.855,13.97,9.931,149.186,146.661,0.984,2127.361,1268.986,,,
38894,2025-09-01 00:13:00,124.319,438.805,159.836,7.626,13.578,8.046,143.846,149.496,0.976,2101.638,1325.707,,,
38895,2025-09-01 00:14:00,113.639,431.165,253.748,8.226,12.908,10.536,142.72,144.369,0.984,2142.408,1303.756,,,
38896,2025-09-01 00:15:00,114.192,253.13,152.417,7.718,12.993,10.405,153.614,150.255,0.98,2151.972,1271.678,,,
38897,2025-09-01 00:16:00,156.485,335.647,448.266,7.648,12.871,10.537,136.547,153.006,0.976,2149.533,1311.344,,,
38898,2025-09-01 00:17:00,233.665,388.327,109.259,7.382,12.587,11.672,147.63,141.34,0.976,2134.071,1251.146,,,
38899,2025-09-01 00:18:00,201.181,196.483,226.317,7.426,13.056,9.799,145.149,147.688,0.98,2120.695,1283.473,,,
38900,2025-09-01 00:19:00,151.93,167.256,173.878,8.409,12.107,9.616,149.481,140.282,0.975,2145.434,1328.467,,,
38901,2025-09-01 00:20:00,264.149,488.838,472.616,6.777,13.984,10.987,135.623,144.194,0.984,2186.993,1324.922,,,
38902,2025-09-01 00:21:00,98.823,347.023,367.792,7.392,12.848,11.554,150.873,142.054,0.983,2198.323,1329.069,,,
38903,2025-09-01 00:22:00,152.251,492.566,464.812,7.812,13.855,11.404,148.81,149.364,0.98,2131.273,1308.754,,,
38904,2025-09-01 00:23:00,178.227,235.102,488.931,7.366,13.449,13.29,135.404,143.73,0.984,2197.443,1307.329,,,
38905,2025-09-01 00:24:00,209.624,381.213,298.839,7.066,12.58,12.615,143.489,144.236,0.978,2143.455,1290.737,,,
38906,2025-09-01 00:25:00,324.812,189.041,193.728,7.075,12.444,8.313,150.359,143.084,0.984,2161.327,1344.854,,,
38907,2025-09-01 00:26:00,119.886,204.48,177.492,6.967,13.991,11.381,157.048,143.657,0.983,2180.371,1344.949,,,
38908,2025-09-01 00:27:00,229.982,304.761,189.168,7.188,13.544,10.507,133.663,143.377,0.981,2135.942,1250.869,,,
38909,2025-09-01 00:28:00,257.345,227.847,383.437,8.243,12.499,10.166,130.262,150.468,0.978,2120.828,1346.222,,,
38910,2025-09-01 00:29:00,66.258,167.049,116.178,7.51,12.135,13.747,134.955,154.337,0.981,2127.308,1337.055,,,
38911,2025-09-01 00:30:00,262.641,205.152,120.544,6.98,13.394,10.741,159.678,147.353,0.985,2183.862,1310.601,,,
38912,2025-09-01 00:31:00,109.683,114.299,343.257,7.269,12.606,12.317,153.051,149.006,0.976,2193.447,1282.453,,,
38913,2025-09-01 00:32:00,72.768,381.769,356.823,6.712,12.443,13.803,148.431,152.272,0.977,2112.849,1292.076,,,
38914,2025-09-01 00:33:00,382.11,296.847,366.105,8.308,13.47,8.906,133.99,147.142,0.981,2169.451,1334.82,,,
38915,2025-09-01 00:34:00,387.971,137.697,248.752,7.316,13.359,8.328,142.481,144.53,0.982,2103.49,1264.768,,,
38916,2025-09-01 00:35:00,332.939,168.678,422.378,8.461,12.963,9.882,151.457,154.265,0.977,2187.495,1312.081,,,
38917,2025-09-01 00:36:00,156.615,141.014,313.45,7.195,13.885,8.267,156.877,153.592,0.983,2185.683,1273.086,,,
38918,2025-09-01 00:37:00,84.185,345.037,142.186,8.173,13.359,8.701,141.455,143.305,0.984,2177.46,1287.818,,,
38919,2025-09-01 00:38:00,289.482,137.684,418.84,7.013,13.787,13.95,159.991,150.546,0.976,2182.438,1250.5,,,
38920,2025-09-01 00:39:00,204.053,401.713,481.227,6.652,12.381,13.761,134.192,149.707,0.985,2160.435,1346.939,,,
38921,2025-09-01 00:40:00,92.713,108.204,124.015,6.563,12.593,12.148,141.608,149.744,0.978,2114.731,1260.86,,,
38922,2025-09-01 00:41:00,223.312,199.75,256.541,7.712,12.209,12.518,156.262,152.459,0.978,2191.456,1326.348,,,
38923,2025-09-01 00:42:00,62.036,456.267,295.006,7.123,12.609,8.843,149.497,150.112,0.975,2114.102,1306.162,,,
38924,2025-09-01 00:43:00,368.262,387.413,158.588,7.387,13.944,11.571,154.328,147.77,0.98,2122.52,1332.802,,,
38925,2025-09-01 00:44:00,140.573,129.187,447.084,8.137,13.926,8.926,157.234,152.691,0.985,2143.261,1301.568,,,
38926,2025-09-01 00:45:00,281.883,428.45,213.66,6.996,13.521,10.27,145.219,143.973,0.977,2149.796,1348.439,,,
38927,2025-09-01 00:46:00,159.099,297.214,413.203,7.117,13.042,10.072,137.042,150.188,0.981,2109.632,1310.702,,,
38928,2025-09-01 00:47:00,232.024,438.713,368.398,8.191,13.562,11.684,150.811,150.523,0.978,2176.168,1311.641,,,
38929,2025-09-01 00:48:00,241.349,340.296,339.218,7.486,13.107,8.478,146.904,153.055,0.975,2113.731,1342.079,,,
